,price($),age_of_car,model,Transmission,Mileage(miles),Exterior_Color,Interior_Color,Gas_mileage_comb(MPG),Engine,Drivetrain,Fuel_type,No._of_features,description_len
1233,16552,7,MINI,Automatic,44083,Blue,Black,25,I3,Front-Wheel Drive,Gasoline,8,3773
1234,23975,4,MINI,Automatic,3664,Gray,Black,25,I3,-1,Gasoline,3,3212
1235,32495,4,MINI,Automatic,5381,White,Black,25,I4,All-Wheel Drive,Gasoline,4,3580
1236,12995,13,Subaru,Automatic,37221,Gray,Black,22,H4,All-Wheel Drive,Gasoline,5,2452
1237,13995,12,Subaru,-1,70479,Gray,Black,25,H4,All-Wheel Drive,Gasoline,4,2754
1238,16593,9,Toyota,-1,70596,-1,-1,39,I4,Front-Wheel Drive,Hybrid,5,2353
1239,23984,8,Honda,Automatic,48069,White,Gray,23,V6,Front-Wheel Drive,Gasoline,7,2466
1240,26980,4,Subaru,-1,6709,Red,Gray,30,H4,All-Wheel Drive,Gasoline,11,3520
1241,26995,6,Subaru,-1,20177,Gray,Gray,28,H4,All-Wheel Drive,Gasoline,9,5307
1242,30984,5,Subaru,-1,17432,Black,White,28,H4,All-Wheel Drive,Gasoline,12,5920
1243,30989,5,Subaru,-1,21027,Gray,Gray,28,H4,All-Wheel Drive,Gasoline,11,5452
1244,30989,5,Subaru,-1,20743,Gray,White,28,H4,All-Wheel Drive,Gasoline,11,5420
1245,17977,11,GMC,Automatic,175559,Black,Black,17,V8,Four-Wheel Drive,Flex Fuel Vehicle,8,2543
1246,24977,5,Dodge,Automatic,16819,-1,Black,23,V6,Rear-Wheel Drive,Gasoline,7,1773
1247,26977,6,Nissan,Automatic,29416,Blue,-1,25,V6,Four-Wheel Drive,Gasoline,4,1328
1248,33777,10,RAM,Automatic,62242,Blue,Black,17,V8,Four-Wheel Drive,Gasoline,14,2737
1249,36877,6,Ford,Automatic,36038,Gray,Black,18,V6,All-Wheel Drive,Gasoline,10,2825
1250,38977,6,Ford,Automatic,35541,White,Gray,19,V6,Four-Wheel Drive,Gasoline,4,1705
1251,64977,5,Ford,Automatic,36189,White,Black,25,V8,Four-Wheel Drive,Biodiesel,13,2065
1252,84977,4,Ford,Automatic,2860,Blue,Black,25,V8,Four-Wheel Drive,Biodiesel,10,2157
1253,6900,12,Chevrolet,Automatic,107944,Red,Black,31,I4,Front-Wheel Drive,Gasoline,4,5326
